Date,Dataset,Method,Topic #,Top Words,LLM Label,Processing Time (s)
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,5,"people, company, work, amazon, like, really, team, working, make, things",Corporate Culture and Workplace Environment,96.88
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,6,"great, company, benefits, work, good, people, culture, microsoft, pay, opportunities",Employee Satisfaction at Microsoft,96.88
5/2/25 13:59,Tech Company Employee Review - Sheet1.csv,LDA,7,"work, good, life, balance, great, people, environment, culture, company, lot","""Positive Workplace Culture""",96.88
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,1,"great, work, apple, time, benefits, retail, people, job, working, pay","""Employment and Workplace Experience""",93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,2,"work, amazon, job, employees, like, don, just, need, working, time",Workplace Environment and Employment,93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,3,"management, good, managers, work, level, manager, employees, company, years, stock",Corporate Management and Leadership Practices,93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,4,"time, work, day, like, days, people, don, hour, job, week","The topic could be labeled as ""Work and Daily Time Management.""",93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,5,"people, work, company, amazon, like, things, team, working, time, make",Corporate Culture and Workforce Experience,93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,6,"company, great, benefits, work, microsoft, people, good, culture, best, opportunities",Tech Company Workplace Culture,93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,7,"work, life, balance, good, great, people, environment, culture, lot, learn","""Work-Life Balance and Positive Workplace Culture""",93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,8,"people, good, smart, work, company, great, benefits, really, culture, management","""Workplace Environment and Benefits""",93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,9,"good, hours, pay, work, long, benefits, great, environment, time, flexible","""Job Satisfaction""",93.52
5/2/25 14:02,Tech Company Employee Review - Sheet1.csv,LDA,10,"free, great, food, people, work, perks, office, good, lots, company","""Positive Workplace Environment""",93.52
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,1,"apple, great, retail, work, customers, people, working, time, job, benefits",Customer Service and Retail Work Experience,91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,2,"work, cons, place, working, amazon, best, think, good, like, need","""Workplace and Business Preferences""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,3,"good, management, work, managers, level, salary, poor, review, bad, performance",Employee Performance and Management Evaluation,91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,4,"like, äôt, äôs, people, don, management, good, time, just, know","A suitable label for these words might be ""Workplace Communication and Management."" This label captures the mixture of management-related terms as well as elements of interpersonal interaction.",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,5,"work, people, google, company, like, working, things, really, lot, time","""Workplace Culture""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,6,"great, benefits, company, work, pay, good, culture, people, growth, compensation","""Positive Workplace Experience""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,7,"work, life, balance, good, great, people, environment, lot, culture, learn","""Work-Life Balance and Positive Workplace Culture""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,8,"people, good, work, pay, really, benefits, great, hard, smart, nice","""Workplace Satisfaction""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,9,"hours, fast, long, good, environment, work, paced, high, pay, great",High-Paced Work Environment and Pay,91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,10,"free, food, great, office, work, people, perks, nice, good, lots","""Workplace Benefits and Environment""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,11,"benefits, great, employee, employees, stock, management, health, training, time, options",Employee Benefits and Development,91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,12,"amazon, people, work, manager, team, don, employees, company, just, managers","""Workplace Dynamics""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,13,"company, people, work, microsoft, great, culture, smart, products, management, big","""Workplace Culture at Microsoft""",91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,14,"red, tape, man, und, contract, die, sehr, im, der, zu",Bureaucracy and Language Mix,91.56
5/2/25 14:05,Tech Company Employee Review - Sheet1.csv,LDA,15,"work, time, hours, pay, job, day, days, benefits, good, week","""Employment and Work Schedule""",91.56
5/2/25 14:09,Womens Clothing E-Commerce Reviews.csv,LDA,1,"like, sweater, shirt, love, really, just, pants, wear, don, look",Casual Clothing and Personal Style,36.61
5/2/25 14:09,Womens Clothing E-Commerce Reviews.csv,LDA,2,"great, love, color, fit, size, soft, jeans, comfortable, perfect, nice",Casual Clothing and Fashion Preferences,36.61
5/2/25 14:09,Womens Clothing E-Commerce Reviews.csv,LDA,3,"dress, love, wear, great, perfect, comfortable, summer, flattering, compliments, bought","""Summer Fashion and Comfort""",36.61
5/2/25 14:09,Womens Clothing E-Commerce Reviews.csv,LDA,4,"size, small, fit, dress, ordered, like, large, wear, petite, medium",Clothing Size and Fit Preferences,36.61
5/2/25 14:09,Womens Clothing E-Commerce Reviews.csv,LDA,5,"dress, like, fabric, just, look, really, fit, waist, material, love",Clothing and Fashion Preferences,36.61
5/2/25 14:12,Womens Clothing E-Commerce Reviews.csv,LDA,1,"like, sweater, shirt, love, really, just, pants, wear, don, look",Casual Fashion and Apparel Preferences,36.63
5/2/25 14:12,Womens Clothing E-Commerce Reviews.csv,LDA,2,"great, love, color, fit, size, soft, jeans, comfortable, perfect, nice",Casual Fashion and Comfort,36.63
5/2/25 14:12,Womens Clothing E-Commerce Reviews.csv,LDA,3,"dress, love, wear, great, perfect, comfortable, summer, flattering, compliments, bought","""Summer Fashion and Style""",36.63
5/2/25 14:12,Womens Clothing E-Commerce Reviews.csv,LDA,4,"size, small, fit, dress, ordered, like, large, wear, petite, medium",Clothing Size and Fit,36.63
5/2/25 14:12,Womens Clothing E-Commerce Reviews.csv,LDA,5,"dress, like, fabric, just, look, really, fit, waist, material, love",Fashion and Clothing Preferences,36.63
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,1,"like, shirt, sweater, really, looks, just, color, don, bought, washed",Clothing Purchase Experience,36.51
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,2,"size, color, fit, great, love, store, sale, purchased, bought, blue",Clothing Shopping and Experience,36.51
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,3,"dress, wear, love, perfect, summer, compliments, flattering, skirt, comfortable, great","""Summer Fashion Essentials""",36.51
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,4,"size, small, dress, large, fit, ordered, like, medium, just, wear",Clothing and Sizing Preferences,36.51
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,5,"dress, like, fabric, look, just, really, fit, waist, material, didn",Fashion and Clothing Review,36.51
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,6,"fit, jeans, love, pants, wear, size, great, length, like, just",Clothing Fit and Preferences,36.51
5/2/25 14:14,Womens Clothing E-Commerce Reviews.csv,LDA,7,"love, great, soft, sweater, perfect, color, comfortable, fall, jacket, wear","""Cozy Fall Fashion""",36.51
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,1,"shirt, sweater, like, wear, really, washed, bought, wash, white, looks",Clothing and Fashion Preferences,35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,2,"color, size, great, sale, fit, blue, love, got, red, bought","""Customer Clothing Purchase Experience""",35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,3,"dress, wear, love, compliments, summer, perfect, wore, great, black, comfortable","""Fashion and Apparel""",35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,4,"small, size, like, large, ordered, medium, big, fit, wear, runs",Clothing Size and Fit Descriptors,35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,5,"dress, like, just, look, fabric, really, didn, looked, material, fit",Fashion and Clothing Evaluation,35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,6,"jeans, pants, fit, love, great, wear, pair, like, size, long","""Clothing Fit and Fashion Preferences""",35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,7,"love, great, sweater, soft, color, comfortable, fall, piece, perfect, quality","""Cozy Fall Fashion""",35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,8,"dress, love, flattering, color, fabric, nice, skirt, like, great, looks",Fashion and Style Description,35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,9,"dress, size, small, perfect, love, wear, fit, fits, great, little","""Clothing Fit and Fashion Satisfaction""",35.08
5/2/25 14:16,Womens Clothing E-Commerce Reviews.csv,LDA,10,"size, dress, fit, petite, waist, ordered, xs, regular, tried, lbs","""Clothing Size and Fit""",35.08
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,1,"like, shirt, material, looks, look, really, jacket, arms, quality, fit",Clothing Quality and Appearance,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,2,"size, fit, great, color, red, comfortable, purchased, material, fits, soft","""Clothing Attributes and Customer Satisfaction""",33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,3,"wear, skirt, love, black, dress, perfect, boots, summer, white, fabric","""Fashion & Seasonal Outfits""",33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,4,"small, size, like, large, ordered, medium, fit, big, runs, usually",Clothing Sizes and Fit,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,5,"like, just, look, really, shirt, didn, fit, short, fabric, sleeves",Clothing Fit and Appearance Evaluation,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,6,"pants, jeans, fit, love, pair, like, great, wear, just, long",Casual Clothing Preferences,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,7,"great, love, soft, comfortable, jeans, perfect, looks, leggings, piece, super",Casual Fashion and Comfort Wear,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,8,"love, color, flattering, nice, shirt, fabric, great, soft, recommend, like","""Fashion and Clothing Appreciation""",33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,9,"size, perfect, dress, small, person, love, fits, great, little, fit","""Clothing Fit and Personal Preference""",33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,10,"size, fit, petite, ordered, xs, lbs, regular, waist, tried, 10",Petite Clothing and Sizing Preferences,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,11,"store, sale, saw, price, online, love, tried, retailer, try, worth",E-commerce Shopping Experience,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,12,"washed, wash, dry, bought, wear, love, wore, washing, like, hand",Laundry and Clothing Care,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,13,"dress, fabric, just, like, beautiful, look, flattering, waist, fit, really",Fashion and Clothing Fit,33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,14,"sweater, color, sleeves, love, soft, wear, size, long, just, like","""Cozy Clothing Preferences""",33.84
5/2/25 14:19,Womens Clothing E-Commerce Reviews.csv,LDA,15,"wear, dress, bra, size, comfortable, bought, perfect, love, fit, small",Women's clothing and fit preferences,33.84
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,1,"mirena, insertion, iud, skyla, insert, cramp, painful, cramping, paragard, cervix",Intrauterine Device (IUD) Placement and Associated Symptoms,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,2,"skin, acne, face, accutane, dermatologist, epiduo, pimple, clear, cream, breakout",Skincare and Acne Treatment,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,3,"acne, birth, control, pill, clear, period, gain, skin, pimple, cystic","""Acne and Birth Control""",253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,4,"plan, unprotected, condom, sex, ovulate, ovulation, late, freak, period, boyfriend",Reproductive Health and Contraception Concerns,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,5,"uti, bladder, cipro, macrobid, urinary, infection, tract, bactrim, urine, antibiotic",Urinary Tract Infection Treatment,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,6,"smoke, chantix, quit, cigarette, smoking, smoker, pack, dream, champix, nicotine",Smoking Cessation Strategies,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,7,"nexplanon, implant, bleed, period, spotting, bleeding, arm, insert, remove, spot",Contraceptive Implant and Menstrual Changes,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,8,"shot, depo, bleed, bleeding, period, spot, provera, gain, stop, receive","The label ""Menstrual Cycle and Birth Control"" would be appropriate for this topic, as the words relate to menstruation (bleed, bleeding, period, stop) and a form of hormonal birth control (shot, depo, provera), along with potential side effects (spot, gain).",253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,9,"sleep, asleep, insomnia, fall, wake, night, awake, groggy, hour, melatonin",Sleep and Wakefulness Patterns,253.57
5/2/25 14:28,Drug_Review_dataset_cleaned.csv,BERTopic,10,"migraine, maxalt, imitrex, excedrin, relpax, frova, nortriptyline, fioricet, headache, neurologist",Migraine and Headache Medications and Treatment Options,253.57
